x            t            dtdx    
0.0001000001 0.99999999 -0.0001
0.0002000001 0.99999999 -1.97999799987e-10
0.0003000001 0.99999998 -9.99999980001e-05
0.0004000001 0.999999966667 -0.000133333350889
0.0005000001 0.99999995 -0.000166666685444
0.0006000001 0.99999993 -0.0002000000146
0.0007000001 0.999999906667 -0.000233333340178
0.0008000001 0.99999988 -0.000266666662413
0.0009000001 0.99999985 -0.000299999981143
0.0010000001 0.999999816667 -0.000333333296074
0.0011000001 0.99999978 -0.000366666606859
0.0012000001 0.99999974 -0.000399999913127
0.0013000001 0.999999696667 -0.000433333214495
0.0014000001 0.99999965 -0.000466666510573
0.0015000001 0.9999996 -0.000499999800967
0.0016000001 0.999999546667 -0.000533333085283
0.0017000001 0.99999949 -0.000566666363122
0.0018000001 0.99999943 -0.000599999634088
0.0019000001 0.999999366667 -0.000633332897782
0.0020000001 0.9999993 -0.000666666153805
0.0021000001 0.99999923 -0.000699999401758
0.0022000001 0.999999156667 -0.000733332641242
0.0023000001 0.99999908 -0.000766665871856
0.0024000001 0.999999000001 -0.000799999093202
0.0025000001 0.999998916667 -0.00083333230488
0.0026000001 0.999998830001 -0.00086666550649
0.0027000001 0.999998740001 -0.000899998697632
0.0028000001 0.999998646668 -0.000933331877906
0.0029000001 0.999998550001 -0.000966665046913
0.0030000001 0.999998450001 -0.000999998204253
0.0031000001 0.999998346668 -0.00103333134953
0.0032000001 0.999998240002 -0.00106666448233
0.0033000001 0.999998130002 -0.00109999760227
0.0034000001 0.999998016669 -0.00113333070894
0.0035000001 0.999997900003 -0.00116666380195
0.0036000001 0.999997780003 -0.00119999688088
0.0037000001 0.99999765667 -0.00123332994535
0.0038000001 0.999997530004 -0.00126666299496
0.0039000001 0.999997400004 -0.00129999602929
0.0040000001 0.999997266671 -0.00133332904796
0.0041000001 0.999997130005 -0.00136666205057
0.0042000001 0.999996990005 -0.0013999950367
0.0043000001 0.999996846673 -0.00143332800597
0.0044000001 0.999996700006 -0.00146666095798
0.0045000001 0.999996550007 -0.00149999389231
0.0046000001 0.999996396674 -0.00153332680858
0.0047000001 0.999996240008 -0.00156665970639
0.0048000001 0.999996080009 -0.00159999258532
0.0049000001 0.999995916677 -0.001633325445
0.0050000001 0.999995750011 -0.001666658285
0.0051000001 0.999995580012 -0.00169999110494
0.0052000001 0.999995406679 -0.00173332390441
0.0053000001 0.999995230014 -0.00176665668301
0.0054000001 0.999995050015 -0.00179998944035
0.0055000001 0.999994866682 -0.00183332217602
0.0056000001 0.999994680017 -0.00186665488963
0.0057000001 0.999994490018 -0.00189998758076
0.0058000001 0.999994296686 -0.00193332024904
0.0059000001 0.999994100021 -0.00196665289404
0.0060000001 0.999993900022 -0.00199998551538
0.0061000001 0.999993696691 -0.00203331811266
0.0062000001 0.999993490025 -0.00206665068546
0.0063000001 0.999993280027 -0.0020999832334
0.0064000001 0.999993066696 -0.00213331575608
0.0065000001 0.999992850031 -0.00216664825309
0.0066000001 0.999992630033 -0.00219998072403
0.0067000001 0.999992406701 -0.0022333131685
0.0068000001 0.999992180037 -0.00226664558611
0.0069000001 0.999991950039 -0.00229997797646
0.0070000001 0.999991716708 -0.00233331033913
0.0071000001 0.999991480044 -0.00236664267375
0.0072000001 0.999991240046 -0.00239997497989
0.0073000001 0.999990996715 -0.00243330725717
0.0074000001 0.999990750052 -0.00246663950518
0.0075000001 0.999990500054 -0.00249997172353
0.0076000001 0.999990246724 -0.00253330391181
0.0077000001 0.99998999006 -0.00256663606963
0.0078000001 0.999989730064 -0.00259996819658
0.0079000001 0.999989466734 -0.00263330029226
0.0080000001 0.99998920007 -0.00266663235628
0.0081000001 0.999988930074 -0.00269996438823
0.0082000001 0.999988656744 -0.00273329638772
0.0083000001 0.999988380081 -0.00276662835434
0.0084000001 0.999988100085 -0.00279996028769
0.0085000001 0.999987816756 -0.00283329218738
0.0086000001 0.999987530094 -0.002866624053
0.0087000001 0.999987240098 -0.00289995588416
0.0088000001 0.999986946769 -0.00293328768046
0.0089000001 0.999986650107 -0.00296661944148
0.0090000001 0.999986350112 -0.00299995116684
0.0091000001 0.999986046784 -0.00303328285614
0.0092000001 0.999985740123 -0.00306661450897
0.0093000001 0.999985430128 -0.00309994612494
0.0094000001 0.9999851168 -0.00313327770364
0.0095000001 0.999984800139 -0.00316660924467
0.0096000001 0.999984480145 -0.00319994074764
0.0097000001 0.999984156818 -0.00323327221215
0.0098000001 0.999983830158 -0.00326660363779
0.0099000001 0.999983500164 -0.00329993502416
0.0100000001 0.999983166837 -0.00333326637087
0.0101000001 0.999982830178 -0.00336659767752
0.0102000001 0.999982490185 -0.0033999289437
0.0103000001 0.999982146859 -0.00343326016901
0.0104000001 0.9999818002 -0.00346659135306
0.0105000001 0.999981450207 -0.00349992249545
0.0106000001 0.999981096882 -0.00353325359577
0.0107000001 0.999980740224 -0.00356658465363
0.0108000001 0.999980380232 -0.00359991566862
0.0109000001 0.999980016907 -0.00363324664035
0.0110000001 0.99997965025 -0.00366657756841
0.0111000001 0.999979280259 -0.00369990845241
0.0112000001 0.999978906935 -0.00373323929195
0.0113000001 0.999978530278 -0.00376657008662
0.0114000001 0.999978150288 -0.00379990083602
0.0115000001 0.999977766965 -0.00383323153976
0.0116000001 0.999977380308 -0.00386656219744
0.0117000001 0.999976990319 -0.00389989280866
0.0118000001 0.999976596997 -0.00393322337301
0.0119000001 0.999976200341 -0.00396655389009
0.0120000001 0.999975800353 -0.00399988435952
0.0121000001 0.999975397031 -0.00403321478088
0.0122000001 0.999974990377 -0.00406654515377
