#    Z   log(age/yr)   logL/Lo   logTe   int_IMF   stage
0.01520 9.00000 1.54310 3.74750 3.27542 2.00000
0.01520 9.00000 1.50350 3.73920 3.27544 2.00000
0.01520 9.00000 1.46820 3.73140 3.27545 2.00000
0.01520 9.00000 1.44490 3.72230 3.27547 2.00000
0.01520 9.00000 1.44830 3.71400 3.27549 3.00000
0.01520 9.00000 1.45450 3.71270 3.27549 3.00000
0.01520 9.00000 1.49140 3.70640 3.27551 3.00000
0.01520 9.00000 1.53730 3.70130 3.27553 3.00000
0.01520 9.00000 1.57640 3.69770 3.27554 3.00000
0.01520 9.00000 1.61680 3.69450 3.27556 3.00000
0.01520 9.00000 1.65780 3.69140 3.27557 3.00000
0.01520 9.00000 1.69860 3.68840 3.27559 3.00000
0.01520 9.00000 1.73920 3.68560 3.27560 3.00000
0.01520 9.00000 1.77910 3.68290 3.27562 3.00000
0.01520 9.00000 1.79900 3.68160 3.27562 3.00000
0.01520 9.00000 1.81880 3.68030 3.27563 3.00000
0.01520 9.00000 1.85840 3.67770 3.27564 3.00000
0.01520 9.00000 1.89820 3.67510 3.27566 3.00000
0.01520 9.00000 1.93760 3.67250 3.27567 3.00000
0.01520 9.00000 1.97740 3.66980 3.27568 3.00000
0.01520 9.00000 2.01740 3.66700 3.27570 3.00000
0.01520 9.00000 2.05750 3.66420 3.27571 3.00000
0.01520 9.00000 2.09660 3.66150 3.27572 3.00000
0.01520 9.00000 2.14150 3.65820 3.27573 3.00000
0.01520 9.00000 2.18120 3.65540 3.27575 3.00000
0.01520 9.00000 2.22820 3.65180 3.27576 3.00000
0.01520 9.00000 2.27030 3.64860 3.27577 3.00000
0.01520 9.00000 2.31270 3.64550 3.27578 3.00000
0.01520 9.00000 2.35700 3.64200 3.27580 3.00000
0.01520 9.00000 2.39510 3.63910 3.27581 3.00000
0.01520 9.00000 2.43850 3.63570 3.27582 3.00000
0.01520 9.00000 2.48310 3.63220 3.27584 3.00000
0.01520 9.00000 2.48440 3.63210 3.27584 4.00000
0.01520 9.00000 2.45180 3.63480 3.27584 4.00000
0.01520 9.00000 2.42150 3.63710 3.27584 4.00000
0.01520 9.00000 2.39120 3.63950 3.27585 4.00000
0.01520 9.00000 2.35090 3.64270 3.27585 4.00000
0.01520 9.00000 2.30170 3.64650 3.27585 4.00000
0.01520 9.00000 2.25060 3.65040 3.27585 4.00000
0.01520 9.00000 2.21140 3.65340 3.27585 4.00000
0.01520 9.00000 2.16280 3.65710 3.27586 4.00000
0.01520 9.00000 2.12430 3.66000 3.27586 4.00000
0.01520 9.00000 2.08590 3.66290 3.27586 4.00000
0.01520 9.00000 2.03850 3.66630 3.27587 4.00000
0.01520 9.00000 1.99090 3.66990 3.27588 4.00000
0.01520 9.00000 1.94280 3.67330 3.27589 4.00000
0.01520 9.00000 1.88720 3.67740 3.27591 4.00000
0.01520 9.00000 1.84140 3.68070 3.27592 4.00000
0.01520 9.00000 1.80210 3.68360 3.27594 4.00000
0.01520 9.00000 1.75400 3.68700 3.27596 4.00000
0.01520 9.00000 1.70420 3.69080 3.27599 4.00000
0.01520 9.00000 1.65570 3.69450 3.27603 4.00000
0.01520 9.00000 1.61690 3.69780 3.27610 4.00000
0.01520 9.00000 1.60650 3.69880 3.27613 5.00000
0.01520 9.00000 1.63200 3.69910 3.27706 5.00000
0.01520 9.00000 1.63730 3.69910 3.27724 5.00000
0.01520 9.00000 1.67930 3.69970 3.27863 5.00000
0.01520 9.00000 1.70630 3.69970 3.27937 5.00000
0.01520 9.00000 1.72180 3.69960 3.27978 5.00000
0.01520 9.00000 1.75920 3.69910 3.28069 5.00000
0.01520 9.00000 1.79740 3.69820 3.28155 5.00000
0.01520 9.00000 1.82530 3.69700 3.28211 6.00000
0.01520 9.00000 1.83980 3.69610 3.28236 6.00000
0.01520 9.00000 1.88650 3.69220 3.28300 6.00000
0.01520 9.00000 1.89640 3.69120 3.28309 7.00000
0.01520 9.00000 2.02290 3.68070 3.28331 7.00000
0.01520 9.00000 2.05320 3.67760 3.28353 7.00000
0.01520 9.00000 2.09600 3.67350 3.28359 7.00000
0.01520 9.00000 2.11230 3.67200 3.28361 7.00000
0.01520 9.00000 2.12200 3.67110 3.28362 7.00000
0.01520 9.00000 2.15210 3.66840 3.28363 7.00000
0.01520 9.00000 2.17800 3.66610 3.28363 7.00000
0.01520 9.00000 2.20510 3.66380 3.28364 7.00000
0.01520 9.00000 2.23080 3.66170 3.28364 7.00000
0.01520 9.00000 2.21570 3.66300 3.28364 7.00000
0.01520 9.00000 2.19640 3.66460 3.28365 7.00000
0.01520 9.00000 2.25740 3.65960 3.28371 7.00000
0.01520 9.00000 2.30340 3.65590 3.28374 7.00000
0.01520 9.00000 2.34980 3.65210 3.28377 7.00000
0.01520 9.00000 2.39530 3.64830 3.28379 7.00000
0.01520 9.00000 2.43630 3.64510 3.28381 7.00000
0.01520 9.00000 2.47460 3.64200 3.28382 7.00000
0.01520 9.00000 2.51120 3.63890 3.28383 7.00000
0.01520 9.00000 2.54290 3.63620 3.28384 7.00000
0.01520 9.00000 2.57660 3.63350 3.28384 7.00000
0.01520 9.00000 2.60720 3.63100 3.28385 7.00000
0.01520 9.00000 2.63860 3.62840 3.28386 7.00000
0.01520 9.00000 2.66970 3.62580 3.28387 7.00000
0.01520 9.00000 2.70070 3.62320 3.28387 7.00000
0.01520 9.00000 2.73260 3.62050 3.28388 7.00000
0.01520 9.00000 2.76430 3.61790 3.28389 7.00000
0.01520 9.00000 2.79910 3.61490 3.28389 7.00000
0.01520 9.00000 2.83740 3.61170 3.28390 7.00000
0.01520 9.00000 2.88150 3.60790 3.28391 7.00000
0.01520 9.00000 2.89260 3.60690 3.28391 8.00000
